customer_id,customer_name,segment,signup_date
C0150,Customer 0150,Consumer,2025-08-19
C0151,Customer 0151,Corporate,2025-09-01
C0152,Customer 0152,Consumer,2025-09-03
C0153,Customer 0153,Small Business,2025-09-05
C0154,Customer 0154,Consumer,2025-09-07
C0155,Customer 0155,Corporate,2025-09-09
C0156,Customer 0156,Consumer,2025-09-11
C0157,Customer 0157,Small Business,2025-09-13
C0158,Customer 0158,Consumer,2025-09-15
C0159,Customer 0159,Corporate,2025-09-17
C0160,Customer 0160,Consumer,2025-09-19
C0161,Customer 0161,Corporate,2025-10-01
C0162,Customer 0162,Consumer,2025-10-03
C0163,Customer 0163,Small Business,2025-10-05
C0164,Customer 0164,Consumer,2025-10-07
C0165,Customer 0165,Corporate,2025-10-09
C0166,Customer 0166,Consumer,2025-10-11
C0167,Customer 0167,Small Business,2025-10-13
C0168,Customer 0168,Consumer,2025-10-15
C0169,Customer 0169,Corporate,2025-10-17
C0170,Customer 0170,Consumer,2025-10-19
C0171,Customer 0171,Corporate,2025-11-01
C0172,Customer 0172,Consumer,2025-11-03
C0173,Customer 0173,Small Business,2025-11-05
C0174,Customer 0174,Consumer,2025-11-07
C0175,Customer 0175,Corporate,2025-11-09
C0176,Customer 0176,Consumer,2025-11-11
C0177,Customer 0177,Small Business,2025-11-13
C0178,Customer 0178,Consumer,2025-11-15
C0179,Customer 0179,Corporate,2025-11-17
C0180,Customer 0180,Consumer,2025-11-19
