order_id,order_date,customer_id,region,channel
O00057,2024-12-15,C0057,Northeast,Online
O00058,2024-12-17,C0058,Southeast,Retail
O00059,2024-12-19,C0059,Midwest,Online
O00060,2024-12-21,C0060,Southwest,Partner
O00061,2024-12-23,C0061,West,Online
O00062,2024-12-26,C0062,Northeast,Retail
O00063,2024-12-28,C0063,Southeast,Online
O00064,2025-01-03,C0064,Midwest,Online
O00065,2025-01-06,C0065,Southwest,Online
O00066,2025-01-09,C0066,West,Retail
O00067,2025-01-12,C0067,Northeast,Partner
O00068,2025-01-15,C0068,Southeast,Online
O00069,2025-01-18,C0069,Midwest,Retail
O00070,2025-01-21,C0070,Southwest,Online
O00071,2025-01-24,C0071,West,Online
O00072,2025-01-27,C0072,Northeast,Retail
O00073,2025-02-01,C0073,Southeast,Online
O00074,2025-02-04,C0074,Midwest,Partner
O00075,2025-02-07,C0075,Southwest,Online
O00076,2025-02-10,C0076,West,Retail
O00077,2025-02-13,C0077,Northeast,Online
O00078,2025-02-16,C0078,Southeast,Retail
O00079,2025-02-19,C0079,Midwest,Online
O00080,2025-02-22,C0080,Southwest,Partner
O00081,2025-02-25,C0081,West,Online
O00082,2025-03-02,C0082,Northeast,Retail
O00083,2025-03-05,C0083,Southeast,Online
O00084,2025-03-08,C0084,Midwest,Online
O00085,2025-03-11,C0085,Southwest,Retail
O00086,2025-03-14,C0086,West,Online
O00087,2025-03-17,C0087,Northeast,Partner
O00088,2025-03-20,C0088,Southeast,Online
O00089,2025-03-23,C0089,Midwest,Retail
O00090,2025-03-26,C0090,Southwest,Online
O00091,2025-03-29,C0091,West,Online
O00092,2025-04-02,C0092,Northeast,Retail
O00093,2025-04-05,C0093,Southeast,Partner
O00094,2025-04-08,C0094,Midwest,Online
O00095,2025-04-11,C0095,Southwest,Online
O00096,2025-04-14,C0096,West,Retail
O00097,2025-04-17,C0097,Northeast,Online
O00098,2025-04-20,C0098,Southeast,Retail
O00099,2025-04-23,C0099,Midwest,Online
O00100,2025-04-26,C0100,Southwest,Partner
O00101,2025-05-01,C0101,West,Online
O00102,2025-05-04,C0102,Northeast,Retail
O00103,2025-05-07,C0103,Southeast,Online
O00104,2025-05-10,C0104,Midwest,Online
O00105,2025-05-13,C0105,Southwest,Retail
O00106,2025-05-16,C0106,West,Partner
O00107,2025-05-19,C0107,Northeast,Online
O00108,2025-05-22,C0108,Southeast,Retail
O00109,2025-05-25,C0109,Midwest,Online
O00110,2025-05-28,C0110,Southwest,Online
O00111,2025-06-02,C0111,West,Retail
O00112,2025-06-05,C0112,Northeast,Online
O00113,2025-06-08,C0113,Southeast,Partner
O00114,2025-06-11,C0114,Midwest,Online
O00115,2025-06-14,C0115,Southwest,Retail
O00116,2025-06-17,C0116,West,Online
O00117,2025-06-20,C0117,Northeast,Retail
O00118,2025-06-23,C0118,Southeast,Online
O00119,2025-06-26,C0119,Midwest,Partner
O00120,2025-06-29,C0120,Southwest,Online
O00121,2025-07-02,C0121,West,Online
O00122,2025-07-05,C0122,Northeast,Retail
O00123,2025-07-08,C0123,Southeast,Online
O00124,2025-07-11,C0124,Midwest,Online
O00125,2025-07-14,C0125,Southwest,Partner
O00126,2025-07-17,C0126,West,Retail
O00127,2025-07-20,C0127,Northeast,Online
O00128,2025-07-23,C0128,Southeast,Retail
O00129,2025-07-26,C0129,Midwest,Online
O00130,2025-07-29,C0130,Southwest,Online
O00131,2025-08-02,C0131,West,Online
O00132,2025-08-05,C0132,Northeast,Retail
O00133,2025-08-08,C0133,Southeast,Partner
O00134,2025-08-11,C0134,Midwest,Online
O00135,2025-08-14,C0135,Southwest,Retail
O00136,2025-08-17,C0136,West,Online
O00137,2025-08-20,C0137,Northeast,Online
O00138,2025-08-23,C0138,Southeast,Retail
O00139,2025-08-26,C0139,Midwest,Partner
O00140,2025-08-29,C0140,Southwest,Online
O00141,2025-09-02,C0141,West,Retail
O00142,2025-09-05,C0142,Northeast,Online
O00143,2025-09-08,C0143,Southeast,Online
O00144,2025-09-11,C0144,Midwest,Retail
O00145,2025-09-14,C0145,Southwest,Partner
O00146,2025-09-17,C0146,West,Online
O00147,2025-09-20,C0147,Northeast,Retail
O00148,2025-09-23,C0148,Southeast,Online
O00149,2025-09-26,C0149,Midwest,Online
O00150,2025-09-29,C0150,Southwest,Retail
O00151,2025-10-02,C0151,West,Online
O00152,2025-10-05,C0152,Northeast,Partner
O00153,2025-10-08,C0153,Southeast,Online
O00154,2025-10-11,C0154,Midwest,Retail
O00155,2025-10-14,C0155,Southwest,Online
O00156,2025-10-17,C0156,West,Retail
O00157,2025-10-20,C0157,Northeast,Online
O00158,2025-10-23,C0158,Southeast,Partner
O00159,2025-10-26,C0159,Midwest,Online
O00160,2025-10-29,C0160,Southwest,Retail
O00161,2025-11-02,C0161,West,Online
O00162,2025-11-05,C0162,Northeast,Retail
O00163,2025-11-08,C0163,Southeast,Online
O00164,2025-11-11,C0164,Midwest,Partner
O00165,2025-11-14,C0165,Southwest,Online
O00166,2025-11-17,C0166,West,Online
O00167,2025-11-20,C0167,Northeast,Online
O00168,2025-11-23,C0168,Southeast,Retail
O00169,2025-11-26,C0169,Midwest,Retail
O00170,2025-11-29,C0170,Southwest,Partner
O00171,2025-12-02,C0171,West,Online
O00172,2025-12-05,C0172,Northeast,Online
O00173,2025-12-08,C0173,Southeast,Retail
O00174,2025-12-11,C0174,Midwest,Online
O00175,2025-12-14,C0175,Southwest,Online
O00176,2025-12-17,C0176,West,Retail
O00177,2025-12-20,C0177,Northeast,Partner
O00178,2025-12-23,C0178,Southeast,Online
O00179,2025-12-26,C0179,Midwest,Retail
O00180,2025-12-29,C0180,Southwest,Online
